air conditioner,,,,,,,
title,price,ac_price,rating,ac_rating,ac_reviews,description,discount
"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 4 Star Split Inverter AC with Wi...","₹39,990","39,990","2,360 Ratings & 252 Reviews","2,360 ",�252 ,"Annual Power Usage: 876.76 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",32% off
"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...","₹43,990","43,990","24,080 Ratings & 2,439 Reviews","24,080 ","�2,439 ","Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",30% off
Panasonic 0.8 Ton 3 Star Split Inverter AC  - White,"₹27,990","27,990","24,080 Ratings & 2,439 Reviews","24,080 ","�2,439 ","Annual Power Usage: 519.64 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",36% off
"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Dual Inverter 4 Way Swing, HD Filter ...","₹46,590","46,590","40,211 Ratings & 3,623 Reviews","40,211 ","�3,623 ","Annual Power Usage: 744.54 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",45% off
Godrej 5-In-1 Convertible Cooling 2024 Model 1.4 Ton 5 Star Split Inverter Heavy Duty Cooling at Extre...,"₹36,490","36,490","10,500 Ratings & 772 Reviews","10,500 ",�772 ,"Annual Power Usage: 690.34 WRoom Size: 111 - 150 sqft5 Years Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",26% off
Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 5 Star Split Inverter Xpandable plus Ambien...,"₹38,990","38,990","2,523 Ratings & 215 Reviews","2,523 ",�215 ,"Annual Power Usage: 813.13 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor",47% off
"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1 Ton 4 Star Split Inverter AC with Wi-f...","₹36,790","36,790","24,080 Ratings & 2,439 Reviews","24,080 ","�2,439 ","Annual Power Usage: 601.5 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",28% off
"Blue Star 1 Ton Portable with Multi Sensors, Self Diagnosis Hydrophilic Gold Fins for Protection AC  -...","₹38,000","38,000","4,243 Ratings & 575 Reviews","4,243 ",�575 ,Annual Power Usage: 0 kWhRoom Size: 90 sqft or Below1 Year on Product and 5 Years Warranty on Compressor From Blue Star,2% off
Voltas 2023 Model 1.5 Ton 3 Star Split AC  - White,"₹36,699","36,699","2,910 Ratings & 238 Reviews","2,910 ",�238 ,Annual Power Usage: 997.82 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,46% off
IFB AI Convertible 8-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Inverter With Heavy Duty Cooling AC ...,"₹40,990","40,990","1,629 Ratings & 128 Reviews","1,629 ",�128 ,"Annual Power Usage: 706.85 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",45% off
MarQ by Flipkart 2024 Range 1.5 Ton 4 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,"₹29,990","29,990","14,702 Ratings & 1,547 Reviews","14,702 ","�1,547 ",Annual Power Usage: 832.59 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,44% off
LG AI Convertible 6-in-1 Cooling 2024 Model 0.8 Ton 3 Star Split Dual Inverter HD Filter with Anti-Vir...,"₹31,990","31,990","40,211 Ratings & 3,623 Reviews","40,211 ","�3,623 ","Annual Power Usage: 625.33 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",52% off
SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter WindFree Technology AC  - ...,"₹38,990","38,990","3,021 Ratings & 238 Reviews","3,021 ",�238 ,Annual Power Usage: 749.48 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,47% off
Godrej 5-In-1 Convertible Cooling 2 Ton 3 Star Split Inverter With Heavy Duty Cooling at Extreme Tempe...,"₹42,490","42,490","10,500 Ratings & 772 Reviews","10,500 ",�772 ,"Annual Power Usage: 1183.2 WRoom Size: 151 - 200 sqft5 Years Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",30% off
Voltas 2023 Model 1.5 Ton 5 Star Window Inverter AC  - White,"₹35,690","35,690",732 Ratings & 67 Reviews,732 ,�67 ,Annual Power Usage: 1114.62 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,28% off
Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,"₹37,990","37,990","10,500 Ratings & 772 Reviews","10,500 ",�772 ,"Annual Power Usage: 744.39 kWhRoom Size: 111 - 150 sqft5 Years Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",30% off
Hitachi 2023 Model 1 Ton 2 Star Window AC  - White,"₹27,299","27,299","4,457 Ratings & 458 Reviews","4,457 ",�458 ,Annual Power Usage: 921 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and  5 Years Warranty on Compressor,14% off
"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Dual Inverter 4 Way Swing, HD Filter ...","₹49,690","49,690","4,333 Ratings & 342 Reviews","4,333 ",�342 ,"Annual Power Usage: 744.99 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging (T&C)",45% off
Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,"₹32,990","32,990","10,638 Ratings & 1,409 Reviews","10,638 ","�1,409 ",Annual Power Usage: 1002.76 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,45% off
Godrej 5-In-1 Convertible Cooling 2024 Model 1.5 Ton 3 Star Split Inverter Anti Leak And Heavy Duty Co...,"₹34,490","34,490","3,895 Ratings & 302 Reviews","3,895 ",�302 ,"Annual Power Usage: 980.37 WRoom Size: 111 - 150 sqft5 Years Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",29% off
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,"₹33,890","33,890","5,168 Ratings & 437 Reviews","5,168 ",�437 ,Annual Power Usage: 975.26 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,47% off
Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,"₹32,790","32,790","5,387 Ratings & 406 Reviews","5,387 ",�406 ,Annual Power Usage: 656.44 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 5 Years on Compressor,28% off
Lloyd 1 Ton 3 Star Split Inverter AC  - White,"₹31,990","31,990","10,638 Ratings & 1,409 Reviews","10,638 ","�1,409 ",Annual Power Usage: 700.06 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,36% off
realme TechLife 2024 Model 1 Ton 3 Star Split Inverter Smart AC with Wi-fi Connect  - White,"₹27,490","27,490","1,553 Ratings & 173 Reviews","1,553 ",�173 ,Annual Power Usage: 663.61 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years on Compressor,45% off
Godrej 5-In-1 Convertible 2024 Model 1.5 Ton 4 Star Split Inverter 4 Way Air Swing And Heavy Duty Cool...,"₹33,490","33,490","5,920 Ratings & 468 Reviews","5,920 ",�468 ,"Annual Power Usage: 835.07 WRoom Size: 111 - 150 sqft5 Years Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",32% off
