title,apple_title,price,apple_price,rating,apple_ratings,apple_reviews,description,discount
"Apple iPhone 15 (Blue, 128 GB)",Apple iPhone 15 ,"₹57,999","57,999","1,61,542 Ratings & 5,245 Reviews","1,61,542 ","�5,245 ","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",17% off
"Apple iPhone 15 Plus (Blue, 128 GB)",Apple iPhone 15 Plus ,"₹65,999","65,999","25,237 Ratings & 1,307 Reviews","25,237 ","�1,307 ","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",17% off
"Apple iPhone 15 (Pink, 256 GB)",Apple iPhone 15 ,"₹67,999","67,999","1,61,542 Ratings & 5,245 Reviews","1,61,542 ","�5,245 ","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",14% off
"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)",Apple iPhone 16 Pro Max ,"₹1,44,900","1,44,900",128 Ratings & 6 Reviews,128 ,�6 ,"256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone 15 Pro (Blue Titanium, 128 GB)",Apple iPhone 15 Pro ,"₹1,05,999","1,05,999","2,234 Ratings & 109 Reviews","2,234 ",�109 ,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",3% off
"Apple iPhone 15 Pro Max (Natural Titanium, 512 GB)",Apple iPhone 15 Pro Max ,"₹1,32,999","1,32,999","1,841 Ratings & 111 Reviews","1,841 ",�111 ,"512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",14% off
"Apple iPhone 15 Pro (Blue Titanium, 512 GB)",Apple iPhone 15 Pro ,"₹1,22,999","1,22,999","2,234 Ratings & 109 Reviews","2,234 ",�109 ,"512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",12% off
"Apple iPhone 15 Pro (Black Titanium, 512 GB)",Apple iPhone 15 Pro ,"₹1,22,999","1,22,999","2,234 Ratings & 109 Reviews","2,234 ",�109 ,"512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",12% off
"Apple iPhone 15 Pro (White Titanium, 256 GB)",Apple iPhone 15 Pro ,"₹1,15,999","1,15,999","2,234 Ratings & 109 Reviews","2,234 ",�109 ,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",3% off
"Apple iPhone 15 Pro Max (Black Titanium, 512 GB)",Apple iPhone 15 Pro Max ,"₹1,32,999","1,32,999","1,841 Ratings & 111 Reviews","1,841 ",�111 ,"512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",14% off
"Apple iPhone 15 Pro (Natural Titanium, 128 GB)",Apple iPhone 15 Pro ,"₹1,05,999","1,05,999","2,234 Ratings & 109 Reviews","2,234 ",�109 ,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",3% off
"Apple iPhone 15 Plus (Green, 256 GB)",Apple iPhone 15 Plus ,"₹75,999","75,999","25,237 Ratings & 1,307 Reviews","25,237 ","�1,307 ","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",15% off
"Apple iPhone 15 Pro (White Titanium, 128 GB)",Apple iPhone 15 Pro ,"₹1,05,999","1,05,999","2,234 Ratings & 109 Reviews","2,234 ",�109 ,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",3% off
"Apple iPhone 15 Plus (Black, 256 GB)",Apple iPhone 15 Plus ,"₹75,999","75,999","25,237 Ratings & 1,307 Reviews","25,237 ","�1,307 ","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",15% off
"Apple iPhone 16 Plus (Black, 256 GB)",Apple iPhone 16 Plus ,"₹99,900","99,900",272 Ratings & 23 Reviews,272 ,�23 ,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
