title,price,fridge_price,rating,fridge_ratings,fridge_reviews,description,discount
SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter and Displa...,"₹26,990","26,990","16,916 Ratings & 1,235 Reviews","16,916","�1,235 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",35% off
Godrej 180 L Direct Cool Single Door 2 Star Refrigerator  with Jumbo Vegetable Tray And Wide Shelf Spa...,"₹11,990","11,990","7,150 Ratings & 404 Reviews","7,150",�404 ,Reciprocatory CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 5 Years Warranty on Motor,28% off
"SAMSUNG 291 L Frost Free Double Door 2 Star Convertible Refrigerator  with Curd Maestro, Convertible 5...","₹31,990","31,990",979 Ratings & 69 Reviews,979,�69 ,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,36% off
"LG 201 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹19,490","19,490",620 Ratings & 44 Reviews,620,�44 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,22% off
SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","15,890","7,591 Ratings & 592 Reviews","7,591",�592 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",27% off
"SAMSUNG 322 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter, Convertib...","₹35,690","35,690","12,159 Ratings & 922 Reviews","12,159",�922 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",32% off
Liebherr 205 L Direct Cool Single Door 3 Star Refrigerator,"₹15,990","15,990",152 Ratings & 19 Reviews,152,�19 ,"ReciprocatingBuilt-in Stabilizer1-year comprehensive warranty (additional 2 years warranty upon registration completed within 15 days of purchase) and 10 Years Warranty on Compressor. Registration can be done via the QR Code on the product or by contacting our customer care team via email.
Offer Period: 13 Oct'2023-31 Dec' 2023",34% off
SAMSUNG 183 L Direct Cool Single Door 2 Star Refrigerator  with Digital Inverter,"₹14,490","14,490","12,637 Ratings & 932 Reviews","12,637",�932 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",19% off
Voltas Beko by A Tata Product 432 L Frost Free Double Door 2 Star Refrigerator,"₹37,990","37,990","1,664 Ratings & 135 Reviews","1,664",�135 ,Pro Smart Inverter CompressorBuilt-in Stabilizer2 Years Comprehensive Warranty on Product and 12 Years Warranty on Compressor,36% off
Whirlpool 235 L Frost Free Double Door 3 Star Convertible Refrigerator  with 5-in-1 Convertible Modes,"₹26,290","26,290",671 Ratings & 54 Reviews,671,�54 ,"Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product, 9 Years Warranty on Compressor",24% off
