title,price,geyser_price,rating,geyser_rating,geyser_reviews,description,discount
"BAJAJ 15 L Storage Water Geyser (Bajaj Shield Series Popular Plus, White)","₹6,199","6,199","44,302 Ratings & 3,308 Reviews","44,302","�3,308 ",Storage Geyser15 LDomestic,47% off
"Crompton 25 L Storage Water Geyser (Arno Neo, White)","₹6,199","6,199","24,236 Ratings & 1,555 Reviews","24,236","�1,555 ","Storage Geyser25 LTank: 5 years, Heating Element: 2 years, Product: 2 years",38% off
"Hindware Smart Appliances 5.5 L Instant Water Geyser (Immedio X 5.5L, White & Blue)","₹2,999","2,999","72,040 Ratings & 8,437 Reviews","72,040","�8,437 ","Instant Geyser5.5 L2 Years Comprehensive Warranty on Product, 2 Years Warranty on Heating Element and 5 Years Warranty on Tank",62% off
"CSI INTERNATIONAL 1 L Instant Water Geyser (CSI round, Red)","₹1,099","1,099",18 Ratings & 1 Reviews,18,�1 ,Instant Geyser1 L1 year,45% off
"ACTIVA 25 L Storage Water Geyser (ACT_25_LTR, IVORY)","₹3,799","3,799","1,009 Ratings & 501 Reviews","1,009",�501 ,Storage Geyser25 L2 YEAR ON INNER TANK 1 YEAR ON COMPONENT WARRANTY.,49% off
"Orient Electric 15 L Storage Water Geyser (Cronos+, White)","₹4,699","4,699","20,802 Ratings & 1,502 Reviews","20,802","�1,502 ",Storage Geyser15 L2 Years Domestic Warranty on Product,57% off
"AO Smith 3 L Instant Water Geyser (ForceNXT 3L, White)","₹2,599","2,599","5,174 Ratings & 542 Reviews","5,174",�542 ,"Instant Geyser3 LComprehensive-2 Years, Heating Element-3 Years, Tank-5 Years",47% off
"Orient Electric 25 L Storage Water Geyser (Enamour Std/Enamour Plus, White, Grey, White, Grey)","₹7,985","7,985",778 Ratings & 88 Reviews,778,�88 ,"Storage Geyser25 L7 Years on Tank, 4 Years on Element, 2 Years on Product",24% off
"AO Smith 10 L Storage Water Geyser (VAS-NEO-010, White)","₹6,199","6,199","10,683 Ratings & 962 Reviews","10,683",�962 ,"Storage Geyser10 LComprehensive-2 Years, Tank-5 Years",42% off
"Kanishka 25 L Storage Water Geyser (Lotus, White, Grey)","₹3,599","3,599",20 Ratings & 1 Reviews,20,�1 ,Storage Geyser25 L1 Year Manufacture Warranty on Components and 5 Years Warranty on Inner Container.,60% off
"ACTIVA 1 L Instant Water Geyser (5 star Premium, White)","₹1,499","1,499",145 Ratings & 63 Reviews,145,�63 ,Instant Geyser1 L1 YEAR WARRANTY ON COMPONENTS AND 5 YEAR WARRANTY ON GEYSER INNER TANK,49% off
"Candes 15 L Storage Water Geyser (Perfecto, White Black)","₹4,079","4,079","19,847 Ratings & 2,646 Reviews","19,847","�2,646 ","Storage Geyser15 L5 Years Warranty on Inner Container & 1 Year Warranty on Components including On-Site & Off-Site, Domestic & International Warranty",49% off
"AO Smith 3 L Instant Water Geyser (EWS 3, White)","₹2,899","2,899","5,174 Ratings & 542 Reviews","5,174",�542 ,"Instant Geyser3 LTank-5 Years,Heating Element-3 Years,Product-2 Years",39% off
"RR 15 L Storage Water Geyser (Supremo+ 15L, White)","₹6,199","6,199",62 Ratings & 2 Reviews,62,�2 ,"Storage Geyser15 L2 Year on Product, 3 Year on Heating Element, 6 Year on Tank",57% off
"GRINISH 1 L Instant Water Geyser (1 Litre Storage Portable Instant Water Heater Geyser with MCB, White...","₹1,350","1,350",156 Ratings & 9 Reviews,156,�9 ,Instant Geyser1 L1 Year Manufacturer Warranty,66% off
"Mr.SHOT 1 L Instant Water Geyser (2.O Vikram Winner - Transparent Model, Purple)","₹2,649","2,649",20 Ratings & 1 Reviews,20,�1 ,Instant Geyser1 LOne Year Spare Replacement Warranty is available for this Model from the date of purchase If any Manufacturing defect.,44% off
"Longway 15 L Storage Water Geyser (Superb, Gray)","₹3,499","3,499","12,424 Ratings & 5,453 Reviews","12,424","�5,453 ",Storage Geyser15 L1 Year Limited Domestic Brand Warranty on Product & 5 Years on Inner Tank/Container.,54% off
"Kenstar 15 L Storage Water Geyser (Emeta, WHITE & BLACK)","₹5,099","5,099","4,252 Ratings & 378 Reviews","4,252",�378 ,"Storage Geyser15 L2 Years Comprehensive Warranty. 5 Years on Tank, 2 Years on Heating Element, 2 Years on Product",43% off
