title,price,wm_price,rating,wm_ratings,wm_reviews,description,discount
"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black","₹7,490","7,490","63,723 Ratings & 6,055 Reviews","63,723","�6,055 ",1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor,40% off
"MarQ by Flipkart 6 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine White, Maro...","₹6,790","6,790","20,474 Ratings & 1,962 Reviews","20,474","�1,962 ",1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor,43% off
realme TechLife 8 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,"₹12,790","12,790","1,091 Ratings & 97 Reviews","1,091",�97 ,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,46% off
Voltas Beko by A Tata Product 12 kg A Tata Product Anti-allergen Hygiene Boost Washing Machine with Fa...,"₹14,990","14,990","6,464 Ratings & 444 Reviews","6,464",�444 ,"1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Spin Motor Warranty and 10 Years Motor Warranty",28% off
"BOSCH 7 kg Fully Automatic Front Load Washing Machine Black, Grey","₹30,990","30,990","1,087 Ratings & 71 Reviews","1,087",�71 ,1200 RPM Max Speed5 Star Rating2 Years Warranty on Product and 12 Years Warranty on Wash Motor,39% off
"SAMSUNG 9.5 kg 5 star,Air Turbo Drying Semi Automatic Top Load Washing Machine Black, Grey","₹16,090","16,090","35,286 Ratings & 2,498 Reviews","35,286","�2,498 ","1300 rpm Max Speed5 Star Rating2 years on product, 2 years on motor (T&C Apply)",21% off
Whirlpool 7.5 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"₹15,990","15,990","20,513 Ratings & 1,437 Reviews","20,513","�1,437 ",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Additional Warranty on Motor,24% off
"Whirlpool 7 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...","₹26,990","26,990",283 Ratings & 20 Reviews,283,�20 ,1000 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor,23% off
"LG 8 kg with Wi-Fi Enabled,Steam Fully Automatic Front Load Washing Machine with In-built Heater Grey,...","₹35,990","35,990","21,310 Ratings & 1,704 Reviews","21,310","�1,704 ",1200 rpm Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,28% off
ONIDA 7.5 kg 5 Star Dual Action Pulsator Quadra Scrub Fully Automatic Top Load Washing Machine Black,"₹12,890","12,890","40,389 Ratings & 4,571 Reviews","40,389","�4,571 ",750 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor from Onida,44% off
"Whirlpool 11 kg 5 Star with Auto Restart, End of Cycle Buzzer and Faster Drying Semi Automatic Top Loa...","₹16,990","16,990","18,858 Ratings & 1,340 Reviews","18,858","�1,340 ","1400 RPM Max Speed5 Star Rating4 Years Warranty on Product, 10 Years Warranty on Wash Motor and 5 Years Warranty on Spin Motor",22% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹34,900","34,900","1,087 Ratings & 71 Reviews","1,087",�71 ,1400 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,34% off
Thomson 10 kg 5 Star Aqua Magic Grande Series with Floral Toughened Glass with Soft Closure and Double...,"₹10,999","10,999","12,988 Ratings & 1,149 Reviews","12,988","�1,149 ",1400 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,26% off
MOTOROLA 7 kg 5 star rating Midnight Series Semi Automatic Top Load Washing Machine Black,"₹8,390","8,390","3,756 Ratings & 292 Reviews","3,756",�292 ,"1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Wash Motor",40% off
"Whirlpool 9 kg 5 Star with Auto Restart, End of Cycle Buzzer, Lint Filter and Collar Scrubber Semi Aut...","₹13,990","13,990","18,858 Ratings & 1,340 Reviews","18,858","�1,340 ",1400 rpm Max Speed5 Star Rating4 Years Comprehensive warranty on Product 10 Years on wash motor 4 Years on Spin motor,25% off
"Haier 9 kg AI with Direct Drive Technology,Puristeam and Refresh Function, Anti Bacterial Technology, ...","₹35,990","35,990",787 Ratings & 97 Reviews,787,�97 ,1400 rpm Max Speed5 Star Rating5 Year Comprehensive Warranty on Product and 20 Years Warranty on Motor.,28% off
Voltas Beko by A Tata Product 6.5 kg 5 Star Eco-Series Fully Automatic Top Load Washing Machine Grey,"₹12,390","12,390",606 Ratings & 36 Reviews,606,�36 ,700 rpm Max Speed5 Star Rating1 Year Comprehensive Warranty on Product and 8 Years Warranty on Motor,48% off
